组	旧事实	新事实	载体	原文
F12	`.claude/agent-common.md` 第 4 行与 `.claude/rules/implementation-workflow.md` 第 18 行都写「门禁 71 号判这一条」	两处都改写成「上游门禁的『规则纪律（项目本地）』阶段判这一条」（agent-common.md 后缀改成规则出处，implementation-workflow.md 后缀改成「rules-lint 扫这三处」）	records/2026-09-16-subagent拆分提案.md:641	用户 2026-09-18 先后定了三句（主 agent 转述）：agent 定义是流程、不是说明，不在定义里写记录、写历史、写经过，要写说明写进 kb 或 `records/`；定义里只许有怎么做——步骤、约束、判据、交付，为什么与是什么归 kb 管，不留解释的尾巴，要用到时写成一条读取指令；改 agent 定义要过三方审核。规则在 `.claude/rules/implementation-workflow.md`「改 agent 定义与共用约束，走同一条三步」，`.claude/agent-common.md` 开头一句指过去。
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/153-账本形态与环上有洞的代价.md:37	- **两个新发现**（数在 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`，判断留给后续推论）：① Q6b 的两种上界读法在含回退的族（H4d2/H4dNm2/H5早/H5晚/H6/H7，5 条臂全部）上**持续被隔离槽数超过**（逐格逐臂核对：全部 360 个 `sampled>0` 的 (族,格,臂) 行，`a_isolated_exceeds_bound_publishes`/`b_isolated_exceeds_bound_publishes` 都恰好等于 `sampled`，即每一次采样都超；同时 `a_bound_negative_publishes`/`b_bound_negative_publishes` 在全部 10940 次采样里都是 0——不是「上界算成负数」这种退化情形，是上界本身为正、隔离槽数依然更大）——D28（挂载期承诺量） 已定项 1 第九项那句「上界 = 被抛弃根的已分配统计量 − R_old 的已分配统计量」按本实验两种读法都罩不住这种影子账（登记 F4：「条款可能错：交主 age
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/153-账本形态与环上有洞的代价.md:53	代码 `research/e7-index-bench/src/bin/e153_ledger_shape_and_ring_holes.rs`，`replay.sh` 现指向 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`（2487 行，末行 `emitted=2487`）；此前留存的 `e153-ledger-shape-and-ring-holes-2026-09-17.out`（39 行）、`-stage3.out`（604 行）、`-stage4.out`（1047 行）原样保留，K1-K5/A1-A7 那部分的值四份产物相同（逐行核过：strip 掉第五段新增字段后 stage5 的 `q_family` 行与 stage4 逐字节一致，`name=k1_first_transaction_placement`、`name=a6_first_transaction_accounting`、`name=a4_steady_state`、`name=k4_rollback`、`name=k5_raise_floo
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/153-账本形态与环上有洞的代价.md:81	第五段 Q6b、Q10、Q8 的原始行（`e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`）：
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/154-两道闸串-重判与回收时点的代价.md:103	（命令：`grep "^E7RESULT RUN" e154-two-gates-serial-rejudge-and-reclaim-timing-2026-09-17-stage4.out | grep "history=H5'" | grep -o "delete_then_rewrite_outcome_label=[^ ]*" | sort | uniq -c`）
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/154-两道闸串-重判与回收时点的代价.md:115	（命令：`grep "^E7RESULT RUN" e154-two-gates-serial-rejudge-and-reclaim-timing-2026-09-17-stage4.out | grep "history=H4a" | grep -o "delete_then_rewrite_outcome_label=[^ ]*" | sort | uniq -c`；`history=H4b` 同法同分布。把两者的 `history` 标签抹掉之后逐字节 `diff`，0 行不同）。116 格「卡死」集中在近满盘几何（未逐格列）；851 格「退化」= 这次准入这条臂根本走不到「自推空发布」（第一道闸不重判，或不重判就直接过闸），与 H1/H5 的退化条款同一形态。
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/154-两道闸串-重判与回收时点的代价.md:127	代码 `research/e7-index-bench/src/bin/e154_two_gates_serial_rejudge_and_reclaim_timing.rs`，原始输出 `e154-two-gates-serial-rejudge-and-reclaim-timing-2026-09-17-stage4.out`（37346 行，末行 `emitted=37346`；跑了约 5–6 分钟，两次独立跑逐字节相同——本机实测的 smoke 跑与官方跑只有 `DONE` 行的字段名不同，那是本段把 H5 变体那一系列变量改了名换来的，字段值逐字节一致）。第二段产物 `e154-two-gates-serial-rejudge-and-reclaim-timing-2026-09-17-stage2.out`（18722 行）与第一段产物 `e154-two-gates-serial-rejudge-and-reclaim-timing-2026-09-17.out`（1250 行）仍保留在仓里，两者的 H1／H5／H6 部分与本段产物对应字段逐字节相同（`diff` 无输出
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/155-每次持久化的写量三种fsync形态与反事实上界.md:18	7. 产物第一、二段留存为 `e155-fsync-write-volume-2026-09-17-stage2.out`（305 行，历史快照，不再是 `replay.sh` 的目标）；第三、四段做完之后同一个二进制重跑，产物扩写为 `e155-fsync-write-volume-2026-09-17-stage4.out`（1334 行，`E7RESULT name=done emitted=1334` 与实收行数一致，`grep -oE "name=[a-z0-9_]+" ... | sort | uniq -c` 核过每类行数：`row1_grid` 288、`row2_fixed_point_upper_bounds` 72、`row2_tree_table_count_axis` 5、`row3_whole_unit_rewrite_upper_bound` 144、`row4_data_unit_rounding_upper_bound` 720、`row5_growth` 54、`row5_height_threshold` 25、`row5_record_count
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/155-每次持久化的写量三种fsync形态与反事实上界.md:50	**第二次跑（2026-09-19）第一段做了什么**：跑前登记 `e155-r2-prereg.md`；另起二进制 `research/e7-index-bench/src/bin/e155_second_run_fsync_write_volume.rs`（E155（每次持久化的写量：三种 fsync 形态与反事实上界） 2026-09-17 第一次跑的二进制 `e155_fsync_write_volume.rs`、产物 `e155-fsync-write-volume-2026-09-17-stage4.out`、`replay.sh` 里那一行都不动），把跑前登记 `e155-r2-prereg.md` 第三节 3.2 指出的四处对不上按登记第五节 R1–R4 改对（B10、B15、B16、B17 钉住）、加 R6（散连续组）与 R7（K10 中间版）、补第 6 行三臂（甲、wal_full-K10、乙-M-K10，另跑 wal_full-K9、乙-M-K9 两条对照算 Q6.6）；主 agent 追加要求后补建 F2（第十节）两半的判定，`row6_grid` 与 `q6_
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/155-每次持久化的写量三种fsync形态与反事实上界.md:63	- Q6.4（比值随 P/N 轴的规则 R 标签）、Q6.6（K10 比 K9 多写多少，按格逐个报）、Q6.7（刷写/FUA，逐格报）——产物里每格都有数，但这次没有逐条把标签或增量摘抄进实验页正文，只报了 P=1 那一格与 Q6.5 的轨迹；完整读数以第二段那份累计产物为准（第一段的 `-stage1.out` 从没入库，它的全部产物行都在 `e155-second-run-fsync-write-volume-2026-09-19-stage2.out` 里；那一份 2026-09-21 随门禁 91 号归档，用 `git show 3cff909^:research/results/e155-second-run-fsync-write-volume-2026-09-19-stage2.out` 取回）。
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/155-每次持久化的写量三种fsync形态与反事实上界.md:66	**第二次跑（2026-09-19）第二段做了什么**：跑前登记 `e155-r2-prereg.md` 第 5.1 节 R8 与第一节「读法写死」的组提交定义；在同一个二进制 `e155_second_run_fsync_write_volume.rs` 里加 `solve_jia_batch_publish`（甲把 concurrent_fsync_count 个并发 fsync 并成一批 = 一次发布）、`solve_write_ahead_log_batch_fsync` 与 `solve_write_ahead_log_batch_checkpoint`（WAL 两臂的批级版本，共享脊柱用连续组、不共享用 `UnsharedPaths`——k 条互不共享路径、组间空隙 ≥ 这一层的覆盖）、`intermediate_version_counts_batch`（R7 中间版计数的批级版本）。52 单测全绿（新增 5 条：B12、B13、B14 三个手算格逐字节核过，`concurrent_fsync_count=1` 时批级函数与第 6 行的单 fsync 函数逐字节相同，阳性
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/experiments/155-每次持久化的写量三种fsync形态与反事实上界.md:120	**第四次跑第一段（2026-09-21）做了什么**：跑前登记 `e155-r4-prereg.md`；回答岔路单第 7 行还差的「k > 16 几档」——用户 2026-09-19 答 D25（目标负载优先级） 并发 fsync「不限制个数，至少 16 个以上，根据硬盘和电脑的性能来做」。另起二进制 `research/e7-index-bench/src/bin/e155_fourth_run_group_commit_concurrency.rs`（拷自第二次的组提交装置 `e155_second_run_fsync_write_volume.rs`，开工时现取 sha256 与登记记录一致）。只改两处：① `main()` 第 7 行主表循环，k 轴从五档（1/2/4/8/16）加到十一档（1/2/4/8/16/32/64/128/256/512/1024，R9：32=`nproc`、64=2×、128=4×、256=8×、512=16×、1024=`nr_requests`=1023 向上取 2 的幂），旧的 `batches_in_interval_by_fsync_co
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	.claude/kb/milestone/02-second-txn.md:289	**现状（2026-09-17 立；同日开工）**：第 1 件已交回：发布路径按 12 种结构报每次发布的写调用与写字节（`crates/singlefs-core/src/write_accounting.rs`），真设备二进制每段窗口与设备一层计数比对，发布 B 两盘合计 21 次写调用 / 344 576 字节按种类拆开与算术逐项相同；代码三方第一轮打中失败路径那一格（收口表第 58 行）；第 3 件交回，报告入库 `m2-s1-prior-art-report.md`（三家的 fsync 都只写日志或意图日志，主树只在周期提交时落盘，本机能查源码的三家里没有一家每次 fsync 写脏叶加全部祖先加根；读源码，没实测，未在本项目验证）；第 2 件：岔路单 `m2-s1-forks.md`（五行），跑前登记 `e155-preregistration.md`，实验 E155（每次持久化的写量：三种 fsync 形态与反事实上界） 第一、二段已跑（岔路单第 1 行够判）：甲与乙每次 fsync 的写字节比随池里对象数从 2.00×（对象数 ≤ 100）涨到 10.65×（10⁸），不
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	records/2026-09-17-已分配口径三方与两个实验.md:40	跑前登记 1341 行；执行员派了七次（第二段因实现哈希变动派了两次），第六段开工 14 分钟后被主 agent 停掉，只拷了仓副本，工作区没有改动。最新产物 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`（2487 行，`emitted=2487`，`replay.sh` 字节一致）。
F20	`replay.sh` 里 E153、E154、E155（第一、二次跑）那几行指向已归档的旧产物文件名（例如 `e153-ledger-shape-and-ring-holes-2026-09-17-stage5.out`），树里没有不比这几份源码新的产物；E153、E154 回看格里的原理由被改名覆盖掉	E153、E154、E155 按全仓禁用角标把装置字段名、变异表变体名与产物文件名改掉之后复跑，存了四份 `research/results/*-2026-09-24-rename.out`（E153 一份、E154 一份、E155 两份：第一、二次跑各一份），`replay.sh` 四行改指它们；E153、E154 的回看格补回被改名覆盖掉的原理由	records/2026-09-17-已分配口径三方与两个实验.md:65	跑前登记 1097 行；执行员派了四次，第四段产物与实验页写完、在跑收尾门禁时卡进一个等不到的循环，主 agent 停掉。最新产物 `e154-two-gates-serial-rejudge-and-reclaim-timing-2026-09-17-stage4.out`（37346 行，`emitted=37346`，`replay.sh` 字节一致）；第二段产物里的 H1、H5、H6 行与第四段逐行相同，第一段的 H1 行也相同。
