组	来源	对象	证据	载体	原文
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:263	| C282 | 环里最旧根没有定义 | **D3（空间分配） 已定项 7 的清扫准入（用户定案）与 I-7.4（近 K 代块未被复用） 的注都用「根环最旧根的 checkpoint_txg」，而根槽写失败重发时 checkpoint_txg 推进一格再发（D23（journal 的角色与格式） 已定项 14）、在飞 checkpoint 深度是两个（D16（发布语义） 已定项 5）** ⇒ 盘上的环不是一个 N 代滑动窗；按算术（最新 − N + 1）取，会放出仍被一个自证合法、实例有效的根引用的落点 | **定义 2026-09-13 已写进 D16（发布语义） 已定项 1**（「环里最旧有效根」逐字同这一格；E139（按盘回退下界的收严形态） 按它建模）；会红的检查仍欠，原写法：定义写成「盘上全部根槽里自证合法、实例有效的根的最小 checkpoint_txg；写失败的槽按旧内容算，
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:264	| C283 | 准入失败时不先推发布就报 ENOSPC | **D3（空间分配） 已定项 9（2026-09-11 用户定案）：`df` 报出 s 字节空闲，写 s 字节就必须成功；删掉 s 字节之后同样大小的写在有界步数内成功。今天没有任何条款、任何检查兑现它**：刚释放的块要等若干次发布之后才回可分配集合（D16（发布语义） 新规则 2 与 I-7.4（近 K 代块未被复用）），全仓没有一条写「准入不够时先把扣住的放回来，再判 ENOSPC」；空闲时按 D16（发布语义） 已定项 2 每 5 秒才发布一次。⚠️ **推发布兑不兑现得了，取决于 `df` 报什么**：推空时每次空发布自己释放的块也要等 N 次发布，剩余空间 < N × 空发布开销 + 保留池 + 一次写时推不出空间，E135（动态回退下界） 产物 S = 16、空发布开销 5 块时 24 次假性 ENOSPC——那是 
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:296	| C318 | 影子账隔离的单元没进准入不等式 | **C314（回退可以复用被抛弃的根引用的单元） 取影子账（2026-09-13 用户定案）之后，只被被抛弃的根引用的单元在 R_old 的账里是空闲的、分配器却不许拿它们（被抛弃的根离开根环之前）**，而 D28（挂载期承诺量） 已定项 1 的准入不等式八项里没有一项装它——「已分配」按当前账算不含它们、「defer 待释放」按代按队列算也不含 ⇒ 可用被高估，E139（按盘回退下界的收严形态） 那类没扣进 df 的量会翻成假性 ENOSPC（第四轮探针 > 60 块就出 24 次）。E150（回退复用被抛弃的根引用的单元） 的几何下隔离量 2–3 个单元、到第 11 次发布归零，池规模下随被抛弃时间线的分配量走 | 准入不等式加一项或并进 defer 待释放：候选口径「被抛弃根独占量」的上界 = 被抛弃时间线自 R_old 起的分配
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:345	| C370 | 需求、可用与 df 没有共同单位 | D3（空间分配） 已定项 12 的 `可用 ≥ 需求` 与 D28（挂载期承诺量） 已定项 1 的式子都没写「需求」按逻辑字节还是按盘字节计；式子括号里的「已分配」逐盘记（字节表五节 212 992 / 212 992），Σ 之后「可用」是各盘之和；D28（挂载期承诺量） 已定项 3 那一节写「`df` 报可用」，而 D3（空间分配） 已定项 9 第 1 条的 s 是用户写的字节。按逻辑字节读，两块盘时准入放行约两倍；按盘字节读，`df` 报的量一半兑现不了。⚠️ **2026-09-17 第二轮收窄**：D5（快照 / 空间记账机制） 已定项 7 把「已分配」钉成逐盘物理字节，需求要与它同口径只能读成盘字节；真正缺的是 D16（发布语义） 已定项 1 那一套「可分配」与 `df` 没有设备维，以及写入时要预付的「解开自己」没有量（D
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:346	| C371 | 活元数据没有定义 | D16（发布语义） 已定项 1 的 `可分配 = min(可再分配 + 活元数据 − 保留池, df)` 与 `df` 式子都用「活元数据」，全仓只在式子里出现（2026-09-17 grep）；E139（按盘回退下界的收严形态） 装置按 `pool.metadata` 的块数计。它的读法决定 D16（发布语义） 已定项 1 那一道闸能不能兜住 C355（checkpoint 保留池池级扣而固定点每块要落两列） 第一轮打中池级扣一份的那一格 | 条款给出定义后，E139（按盘回退下界的收严形态） 装置的取法与条款逐字对上；判别力自证：把活元数据改成全部活着的元数据块，C355（checkpoint 保留池池级扣而固定点每块要落两列） 第一轮那一格必须由不中翻成中 | 无 | 同 C370（需求、可用与 df 没有共同单位） |
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:385	| C215 | 回退深度的承诺与 K 的下限不能同时成立 | D16（发布语义） 已定项 1（2026-09-13 用户定案）把块重用的界改成 max(F_生效, 环里最旧有效根)、回退候选集改成有效 ∧ txg ≥ F_生效：平时 F 不动时深度是整个根环，盘紧时缩到最近 4 个状态；I-7.4（近 K 代块未被复用） 的 K 改由这个候选集表达，D23（journal 的角色与格式） 已定项 14 的深度那句随之改写；E139（按盘回退下界的收严形态） 全部故障世界零假候选 | 2026-09-13 |
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/checks-owed.md:386	| C222 | I-7.4 的下限 2 与第一版两盘几何要的 3 打架 | 同一条定案：K 不再是运行时参数；抬 F 的上限取 min(每块盘上最新的持久有效根, 第 4 新的非空持久有效根)，丢盘之后幸存盘上最新的根恒在候选集里、它引用的块恒不复用（E139（按盘回退下界的收严形态） 丢盘世界零假候选、零不可恢复）；「K ≥ 最坏择根回退 + 1」那条挂载准入不再需要，D5（快照 / 空间记账机制） 已定项 2 的记账保留跟着改由 F 定 | 2026-09-13 |
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/decisions.md:125	- 9. 不许有假性 ENOSPC，删掉的空间在有界步数内可用 —— 已定
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/decisions/03-空间分配.md:260	**依据（E151（用户数据落点的到达序与容器臂） 第二次跑 + 第二轮三方论证，判决在 `research/prompts/d3-r2-main-verification.md`）**：分得开候选的量是**提交内生块进不进聚簇段**——用户数据进 bump 段时它们 92%–94% 落不进（M = 9 回落 16574–16835 / 18000），不进段时 0（装置里提交内生块寿命一个 checkpoint，0 是下界）；它是已定项 5 用户定案的「必须」要的量，也是 D26（后台整理与放置回收） 已定项 3 第二合取式 `(可用 ≥ 需求) ∧ (全空聚簇段数 ≥ N₀)` 读的量的上游。另一条候选（用户数据与提交内生块走同一个 bump 分配器）原文没说前台能不能开最后 N₀ 个全空段：能开就撞 D26（后台整理与放置回收） 已定项 3「整理走常规准入」那条死锁链、进而撞已定项 9
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/decisions/03-空间分配.md:309	**2026-09-13 第二轮三方论证：三腿对候选不一致（正推腿甲′、反推腿乙′），按失败条款核实而不投票；判决在 `research/prompts/d3-r2-main-verification.md`，经过在 [records/2026-09-13-D3项8第二轮.md](../../../records/2026-09-13-D3项8第二轮.md)。** 五条判据的结果：5-1 按字面不打中（真实系统没有攒批），但「到达序」有两个读法、分得开它们的是 C319（请求内单元按 key 升序发出没有条款也没有检查） 那一句；5-2 不打中，甲写成「设备集合由 D2（RAID 条带策略） 已定项 8 选定之后，在每一块被选中的设备上各自取该设备内槽号最小、且通过分配准入合取的空 16 KiB 槽；不选设备、不轮转设备」就有指称；5-3 打中，差在 D3（空间分配） 已定项 5 要的那个
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/decisions/03-空间分配.md:359	#### 已定项 9（2026-09-11，用户定案）：不许有假性 ENOSPC，删掉的空间在有界步数内可用
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/decisions/03-空间分配.md:363	1. **不许有假性 ENOSPC**：只要 `df` 报出的空闲 ≥ s，写 s 字节就必须成功。文件系统可以先在内部做有界步数的工作
R138	退役片段	⇒第1条兑不兑现取决于df的口径，不只取决于臂；代价是df少报那一截。E138（按盘回退下界与推空的空间要求）量过：这样扣之后整环+推空在全部格上假性ENOSPC为0，df少报保留池+5+(N−2)×空发布开销（S=16、开销5块时480块）。⚠️这只在无故障的近满盘上成立：推空期间一次根槽写失败，整环+推空就出假性ENOSPC；一个根槽持续写不进时，它在占用70%时报ENOSPC并卡死（D16（发	.claude/kb/decisions/03-空间分配.md 删掉：⇒ 第 1 条兑不兑现取决于 `df` 的口径，不只取决于臂；代价是 `df` 少报那一截。E138（按盘回退下界与推空的空间要求） 量过：这样扣之后整环 + 推空在全部格上假性 ENOSPC 为 0，`df` 少报 保留池 + 5 + (N − 2) × 空发布开销（S = 16、开销 5 块时 480 块）。⚠️ **这只在无故障的近满盘上成立**：推空期间一次根槽写失败，整环 + 推空就出假性 ENOSPC；一个根槽持续写不进时，它在占用 70% 时报 ENOSPC 并卡死（D16（发布语义） 已定项 1 第三轮判决）。 ⟶ 新加：⚠️ **射程只到 k_tol = 2 次根槽写失败**：D16（发布语义） 已定项 1 逐字「全部故障世界（活化区间内崩溃不丢盘、先跳号再抬 F、推空期间 1..3 次根槽写失败、坏槽、开销升到 c_max）零假候选、零不可恢复；近满盘、推空期间 ≤ 2 次写失败、坏槽、开销升到 c_max 各格按这条臂自己的 `df` 假性 ENOSPC 为 0；一次准入的发布数实测最大 7 ≤ 8；跑前保留池下不卡死。」	.claude/kb/decisions/03-空间分配.md:364	（推发布、抬回退下界之类）再分配；只有盘真的写满（`df` 空闲 < s）才许报 ENOSPC。
