M1_root_record_250	const ROOT_RECORD_BYTES: u64 = 457;	const ROOT_RECORD_BYTES: u64 = 333;
M37_header_does_not_self_describe_key_width	    writer.put_u8(u8::try_from(key_width).expect("key 宽 1 字节"));	    writer.put_u8(0);
M38_declared_length_not_entry_bytes	    let declared_length: usize = entries.len() * entry_width as usize;	    let declared_length: usize = 0;
M39_data_unit_in_the_open_cluster_segment	const SLOT_DATA_UNIT: u64 = 50180;	const SLOT_DATA_UNIT: u64 = 50304;
M40_device_bytes_doubled	const DEVICE_BYTES: u64 = 4 << 30;	const DEVICE_BYTES: u64 = 8 << 30;
M41_journal_worst_case_is_record_bytes	const JOURNAL_WORST_CASE_BYTES: u64 = JOURNAL_IN_FLIGHT_RECORD_LIMIT * JOURNAL_RECORD_BYTES;	const JOURNAL_WORST_CASE_BYTES: u64 = JOURNAL_RECORD_BYTES;
M42_pointer_head_without_compression	const POINTER_HEAD_BYTES: u64 = 50;	const POINTER_HEAD_BYTES: u64 = 47;
M43_tree_table_entry_197	const TREE_TABLE_ENTRY_BYTES: u64 = 200;	const TREE_TABLE_ENTRY_BYTES: u64 = 197;
M44_inode_internal_entry_117	const INODE_INTERNAL_ENTRY: u64 = 120;	const INODE_INTERNAL_ENTRY: u64 = 117;
M45_extent_leaf_record_109	const EXTENT_LEAF_RECORD_BYTES: u64 = 112;	const EXTENT_LEAF_RECORD_BYTES: u64 = 109;
M46_unit_reserved_still_28	const NONCE_MAC_RESERVED_BYTES: u64 = 29;	const NONCE_MAC_RESERVED_BYTES: u64 = 28;
M47_key_width_field_back_after_the_key_range	const INDEX_NODE_KEY_WIDTH_OFFSET: usize = 51;	const INDEX_NODE_KEY_WIDTH_OFFSET: usize = 50;
M48_journal_record_drops_the_fsid	        writer.put_u64(self.fsid);	        writer.put_u64(0);
M49_header_checksum_covers_only_the_head	        let digest = wide_checksum_with_field_zeroed(&bytes, JOURNAL_RECORD_BYTES as usize, JOURNAL_HEADER_CHECKSUM_OFFSET);\n        bytes[JOURNAL_HEADER_CHECKSUM_OFFSET..JOURNAL_HEADER_CHECKSUM_OFFSET + 32].copy_from_slice(&digest);	        let digest = wide_checksum_with_field_zeroed(&bytes, JOURNAL_HEADER_BYTES as usize, JOURNAL_HEADER_CHECKSUM_OFFSET);\n        bytes[JOURNAL_HEADER_CHECKSUM_OFFSET..JOURNAL_HEADER_CHECKSUM_OFFSET + 32].copy_from_slice(&digest);
M50_system_configuration_writer_identity_left_blank	        writer.put(&writer_identity);\n        writer.put_u32(WRITER_IDENTITY_VERSION);	        writer.put(&[0u8; WRITER_IDENTITY_NAME_BYTES]);\n        writer.put_u32(0);
M51_checksum_algorithm_identifier_zero	const CHECKSUM_ALGORITHM_CRC32_CASTAGNOLI: u8 = 1;	const CHECKSUM_ALGORITHM_CRC32_CASTAGNOLI: u8 = 0;
M52_tree_table_head_identifier_always_zero	        writer.put_u64(self.head_identifier);	        writer.put_u64(0);
M53_deadlist_not_registered_in_the_tree_table	        TreeTableEntry { kind: TREE_KIND_DEADLIST, tree: TreeIdentifier(TREE_IDENTIFIER_DEADLIST), root: NodePointer::empty_root(), birth_txg: txg, head_identifier: TREE_TABLE_HEAD_IDENTIFIER_NONE },\n    ];	    ];
M54_admission_statistics_not_written_on_day_one	        accounting_entries.push(per_device(STATISTIC_UNRECLAIMABLE_BYTES, 0));\n        // defer 待释放 = mkfs 那片第 0 版树表单元（1 槽）：A 重写树表把它换下（D3 已定项 7）。\n        accounting_entries.push(per_device(STATISTIC_DEFER_QUEUE_BYTES, SLOT_BYTES));	
M55_runs_stays_pool_wide	        accounting_entries.push(per_device(STATISTIC_FRAGMENTATION_RUNS, free_run_count(&occupied)));	        accounting_entries.push(pool_wide(STATISTIC_FRAGMENTATION_RUNS, TREE_IDENTIFIER_NONE, free_run_count(&occupied)));
M56_mkfs_physical_block_size_not_recorded	const MKFS_PHYSICAL_BLOCK_BYTES: u32 = 512;	const MKFS_PHYSICAL_BLOCK_BYTES: u32 = 4096;
M57_extension_point_declared_nonzero	const EXTENSION_POINT_DECLARED_BYTES: u32 = 0;	const EXTENSION_POINT_DECLARED_BYTES: u32 = 8;
M58_ring_region_devices_not_zero_one_zero	const RING_REGION_DEVICES: [u32; 3] = [0, 1, 0];	const RING_REGION_DEVICES: [u32; 3] = [0, 0, 1];
M59_root_record_algorithm_type_nonzero	        writer.put_u8(0);\n        writer.skip(12 + 16);\n        writer.assert_position(ROOT_RECORD_BYTES, "根记录");	        writer.put_u8(1);\n        writer.skip(12 + 16);\n        writer.assert_position(ROOT_RECORD_BYTES, "根记录");
M60_bump_order_back_to_the_sixth_run	const SLOT_EXTENT_ROOT: u64 = 50240;	const SLOT_EXTENT_ROOT: u64 = 50242;
M61_journal_scan_ignores_the_fsid	                if record.fsid != expected_fsid {\n                    continue;\n                }	                if false {\n                    continue;\n                }
M62_index_node_accepts_a_zero_entry_width	    if entry_width < key_width || entry_count * entry_width != declared_length as usize {	    if false {
M63_tree_table_reserved_bytes_not_checked	        if bytes[TREE_TABLE_ENTRY_BYTES as usize - 76..].iter().any(|&byte| byte != 0) {\n            return Err(UnitError::Structure("树表条目预留 76 字节非零"));\n        }	
M64_journal_worst_case_room_computed_from_the_old_header	const JOURNAL_HEADER_TEN_FIELD_BYTES: u64 = 78;	const JOURNAL_HEADER_TEN_FIELD_BYTES: u64 = 86;
M65_system_configuration_slot_back_to_the_physical_block_width	const SYSTEM_CONFIGURATION_SLOT_BYTES: u64 = 4096;	const SYSTEM_CONFIGURATION_SLOT_BYTES: u64 = 512;
M66_system_configuration_slot_checksum_covers_only_the_first_sector	        let digest = wide_checksum_with_field_zeroed(&bytes, SYSTEM_CONFIGURATION_SLOT_BYTES as usize, SYSTEM_CONFIGURATION_CHECKSUM_OFFSET);\n        bytes[SYSTEM_CONFIGURATION_CHECKSUM_OFFSET..SYSTEM_CONFIGURATION_CHECKSUM_OFFSET + 32].copy_from_slice(&digest);\n        bytes\n    }	        let digest = wide_checksum_with_field_zeroed(&bytes, PHYSICAL_BLOCK_BYTES as usize, SYSTEM_CONFIGURATION_CHECKSUM_OFFSET);\n        bytes[SYSTEM_CONFIGURATION_CHECKSUM_OFFSET..SYSTEM_CONFIGURATION_CHECKSUM_OFFSET + 32].copy_from_slice(&digest);\n        bytes\n    }
M67_apply_records_across_instance_boundary	record.instance == root.instance && (record.instance, record.checkpoint_txg) > water).collect();	(record.instance, record.checkpoint_txg) > water).collect();
M68_run_full_pipeline_ignores_requested_change_count	    let output = publish_first_file(&mut recording, parameters, &genesis, file_bytes, instance, last_warm_up_record.as_deref(), change_count);	    let output = publish_first_file(&mut recording, parameters, &genesis, file_bytes, instance, last_warm_up_record.as_deref(), 1);
M69_diff_pools_scans_only_the_inode_leaf_slots	        let mut sectors: std::collections::BTreeSet<u64> = old.devices[device_index].sectors.keys().copied().collect();\n        sectors.extend(new.devices[device_index].sectors.keys().copied());	        let leaf_first_sector = SlotNumber(SLOT_INODE_LEAF).device_offset().0 / PHYSICAL_BLOCK_BYTES;\n        let leaf_sector_count = DATA_UNIT_BYTES / PHYSICAL_BLOCK_BYTES;\n        let mut sectors: std::collections::BTreeSet<u64> = old.devices[device_index].sectors.keys().copied().filter(|sector| *sector >= leaf_first_sector && *sector < leaf_first_sector + leaf_sector_count).collect();\n        sectors.extend(new.devices[device_index].sectors.keys().copied().filter(|sector| *sector >= leaf_first_sector && *sector < leaf_first_sector + leaf_sector_count));
M70_location_entries_checksum_zeroed	        let unit_checksum = castagnoli_crc32(unit);	        let unit_checksum = 0;
M71_named_unit_writes_zeroed_location_entries	        for location in &self.locations {\n            location.write_to(writer);\n        }\n        writer.put_u8(self.unit_class);	        for _location in &self.locations {\n            LocationEntry { device: DeviceIdentity(0), slot: SlotNumber(0), unit_checksum: 0 }.write_to(writer);\n        }\n        writer.put_u8(self.unit_class);
M72_structure_sets_match_tolerates_a_one_element_difference	    left == right	    left.symmetric_difference(right).count() <= 1
M73_pairing_comparison_treats_matching_sha256_as_unequal	    if impl_line.sha256 == model_sha256 {	    if impl_line.sha256 != model_sha256 {
M76_root_ring_zero_fill_skips_last_region	        for region_index in 0..RING_REGIONS {	        for region_index in 0..RING_REGIONS - 1 {
M77_mkfs_allocation_record_tree_root_nonzero	        // C512 2026-09-23 用户定案：mkfs 第 0 代写全零。\n        allocation_record_tree_root: NodePointer::empty_root(),	        // C512 2026-09-23 用户定案：mkfs 第 0 代写全零。\n        allocation_record_tree_root: NodePointer { head: PointerHead { birth_tree: TreeIdentifier(1), birth_txg: CheckpointTxg(1) }, locations: [LocationEntry { device: DeviceIdentity(0), slot: SlotNumber(1), unit_checksum: 1 }, LocationEntry { device: DeviceIdentity(0), slot: SlotNumber(1), unit_checksum: 1 }], instance: InstanceGeneration(1), birth_sequence: BirthSequence(1) },
M78_inode_blocks_back_to_data_unit_bytes	        writer.put_u64(self.size.div_ceil(512));	        writer.put_u64(DATA_UNIT_BYTES / 512);
M79_zero_fill_only_the_owning_device	    for device in parameters.devices() {\n        for region_index in 0..RING_REGIONS {\n            pool.record_zero_fill(device, ring_region_offset(region_index));	    for device in parameters.devices().into_iter().take(1) {\n        for region_index in 0..RING_REGIONS {\n            pool.record_zero_fill(device, ring_region_offset(region_index));
M80_flag_always_zero	writer.put_u8(self.record_flags);	writer.put_u8(0x00);
M81_ordinal_always_zero	writer.put_u32(self.ordinal_within_publish);	writer.put_u32(0);
M82_warm_up_flag_zero	            record_flags: parameters.last_of_publish_flag,	            record_flags: 0x00,
M83_clause_ignores_extra_flag_bits	record.record_flags & !0x01 != 0	false
M84_clause_ignores_ordinal_zero	record.ordinal_within_publish == 0	false
M85_clause_commit_marker_is_enough	            if above[batch_end].record_flags & 0x01 == 1 {\n                break;\n            }\n            if batch_end + 1 >= above.len() {\n                batch_end += 1; // 越出候选集合，下面按「没见到标志」处理\n                break;\n            }\n            batch_end += 1;\n        }\n        if batch_end >= above.len() || above[batch_end].record_flags & 0x01 != 1 {	            if above[batch_end].is_commit {\n                break;\n            }\n            if batch_end + 1 >= above.len() {\n                batch_end += 1; // 越出候选集合，下面按「没见到标志」处理\n                break;\n            }\n            batch_end += 1;\n        }\n        if batch_end >= above.len() || !above[batch_end].is_commit {
M86_back_chain_hardcoded_307	let mut header = previous_record_bytes[..JOURNAL_HEADER_BYTES as usize].to_vec();	let mut header = previous_record_bytes[..307usize].to_vec();
M87_offset_table_reverts_to_307_layout	        87..=90 => (true, "ordinal_within_publish（本次发布内序号，已定项 4）".to_string()),\n        91..=94 => (true, "back_chain".to_string()),	        87..=90 => (true, "back_chain".to_string()),\n        91..=94 => (true, "载荷校验和（罩点名项数组，D23 已定项 13）".to_string()),
M88_record_registry_drops_warm_up_records	fn journal_record_name_for_offset(offset: u64) -> Option<(&'static str, u64)> {\n    for (label, counter) in [("w1", 1u64), ("w4", 2u64), ("t9", 3u64)] {	fn journal_record_name_for_offset(offset: u64) -> Option<(&'static str, u64)> {\n    for (label, counter) in [("t9", 3u64)] {
M90_geometry_back_chain_discriminating_power_flipped	        assert!(!has_back_chain(&main_differences, "w1"), "主取样点：w1 是本实例第一条，反向链两臂都是 0");\n        assert!(!has_back_chain(&g1_differences, "t9"), "G1：本实例第一条就是 t9，反向链两臂都是 0");	        assert!(has_back_chain(&main_differences, "w1"), "主取样点：w1 是本实例第一条，反向链两臂都是 0");\n        assert!(has_back_chain(&g1_differences, "t9"), "G1：本实例第一条就是 t9，反向链两臂都是 0");
M91_clause_ignores_ordinal_not_one_at_publish_start	if record.ordinal_within_publish != 1 {	if false {
M92_clause_ignores_trailing_after_last_flag	if batch_end + 1 < above.len() && above[batch_end + 1].instance == flagged_record.instance && above[batch_end + 1].checkpoint_txg == flagged_record.checkpoint_txg {	if false {
M93_clause_does_not_stop_on_multiple_last_flag	if flagged_at_root.len() > 1 {	if false {
M94_allocation_leaf_slots_806	const ALLOCATION_RECORD_TREE_LEAF_SLOTS: u64 = 812;	const ALLOCATION_RECORD_TREE_LEAF_SLOTS: u64 = 806;
M95_allocation_internal_fanout_168	const ALLOCATION_RECORD_TREE_INTERNAL_FANOUT: u64 = 169;	const ALLOCATION_RECORD_TREE_INTERNAL_FANOUT: u64 = 168;
M96_allocation_root_level_threshold_three	        if total <= ALLOCATION_RECORD_TREE_INTERNAL_FANOUT {	        if total <= 3 {
M97_allocation_bump_root_first	const SLOT_ALLOCATION_LEAF_DEVICE_0: u64 = 50245;\nconst SLOT_ALLOCATION_LEAF_DEVICE_1: u64 = 50246;\n/// 分配记录树两个层级 1 节点：罩盘 0 / 盘 1 的那一段（`allocation_internal_of_device_{0,1}`）。\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_0: u64 = 50247;\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_1: u64 = 50248;\n/// 分配记录树根（层级 2，单一节点、按盘分流，`allocation_root`）。\nconst SLOT_ALLOCATION_ROOT: u64 = 50249;	const SLOT_ALLOCATION_LEAF_DEVICE_0: u64 = 50248;\nconst SLOT_ALLOCATION_LEAF_DEVICE_1: u64 = 50249;\n/// 分配记录树两个层级 1 节点：罩盘 0 / 盘 1 的那一段（`allocation_internal_of_device_{0,1}`）。\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_0: u64 = 50246;\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_1: u64 = 50247;\n/// 分配记录树根（层级 2，单一节点、按盘分流，`allocation_root`）。\nconst SLOT_ALLOCATION_ROOT: u64 = 50245;
M98_allocation_bump_same_level_descending	const SLOT_ALLOCATION_LEAF_DEVICE_0: u64 = 50245;\nconst SLOT_ALLOCATION_LEAF_DEVICE_1: u64 = 50246;\n/// 分配记录树两个层级 1 节点：罩盘 0 / 盘 1 的那一段（`allocation_internal_of_device_{0,1}`）。\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_0: u64 = 50247;\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_1: u64 = 50248;	const SLOT_ALLOCATION_LEAF_DEVICE_0: u64 = 50246;\nconst SLOT_ALLOCATION_LEAF_DEVICE_1: u64 = 50245;\n/// 分配记录树两个层级 1 节点：罩盘 0 / 盘 1 的那一段（`allocation_internal_of_device_{0,1}`）。\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_0: u64 = 50248;\nconst SLOT_ALLOCATION_INTERNAL_DEVICE_1: u64 = 50247;
M99_allocation_records_omit_own_nodes	    (SLOT_INODE_ROOT, 1, FIRST_TRANSACTION_TXG, false),\n        (SLOT_ALLOCATION_LEAF_DEVICE_0, 1, FIRST_TRANSACTION_TXG, false),\n    ];\n    if parameters.device_count > 1 {\n        allocated.push((SLOT_ALLOCATION_LEAF_DEVICE_1, 1, FIRST_TRANSACTION_TXG, false));\n    }\n    allocated.push((SLOT_ALLOCATION_INTERNAL_DEVICE_0, 1, FIRST_TRANSACTION_TXG, false));\n    if parameters.device_count > 1 {\n        allocated.push((SLOT_ALLOCATION_INTERNAL_DEVICE_1, 1, FIRST_TRANSACTION_TXG, false));\n    }\n    allocated.push((SLOT_ALLOCATION_ROOT, 1, FIRST_TRANSACTION_TXG, false));	    (SLOT_INODE_ROOT, 1, FIRST_TRANSACTION_TXG, false),\n    ];
M100_allocation_leaf_max_key_half_open	        let largest_key = allocation_position_key(device.0, span_start + ALLOCATION_RECORD_TREE_LEAF_SLOTS - 1);	        let largest_key = allocation_position_key(device.0, span_start + ALLOCATION_RECORD_TREE_LEAF_SLOTS);
M101_internal_cell_index_off_by_one	                let child = if position == cell_within_level_one { Some(*leaf_pointer) } else { None };	                let child = if position == cell_within_level_one - 1 { Some(*leaf_pointer) } else { None };
M103_extent_upper_leaf_tag_lower_segment	    writer.put_u8(EXTENT_UPPER_LEAF_ENTRY_TAG_INLINE_DATA_UNIT);	    writer.put_u8(EXTENT_UPPER_LEAF_ENTRY_TAG_LOWER_SEGMENT_ROOT);
M105_extent_upper_leaf_entry_112	const EXTENT_TREE_UPPER_LEAF_ENTRY_BYTES: u64 = 113;	const EXTENT_TREE_UPPER_LEAF_ENTRY_BYTES: u64 = 112;
M106_mapping_tree_omits_allocation_leaves_and_internals	    for (_, pointer) in allocation_tree.leaf_pointers.iter().chain(allocation_tree.internal_pointers.iter()) {\n        mapping_entries.push((mapping_key_for_node(UNIT_CLASS_INDEX_NODE, *pointer), pointer.locations));\n    }	    // M106: 分配记录树自己的节点不进映射（变异，删掉这个循环）。
M107_named_units_omit_internal_nodes	        for (_, pointer) in allocation_tree.leaf_pointers.iter().chain(allocation_tree.internal_pointers.iter()) {\n            list.push((UNIT_CLASS_INDEX_NODE, pointer.head.birth_tree, node_key_tail(pointer.instance, pointer.birth_sequence)));\n        }	        for (_, pointer) in allocation_tree.leaf_pointers.iter() {\n            list.push((UNIT_CLASS_INDEX_NODE, pointer.head.birth_tree, node_key_tail(pointer.instance, pointer.birth_sequence)));\n        }
M110_allocation_root_level_uses_unit_area_slots	const DEVICE_SLOTS: u64 = slots_of_device_bytes(DEVICE_BYTES);	const DEVICE_SLOTS: u64 = UNIT_AREA_SLOTS;
M112_inode_leaf_slot_not_aligned	const SLOT_INODE_LEAF: u64 = 50242;	const SLOT_INODE_LEAF: u64 = 50241;
M108_pairing_drops_the_device_check	line.device == device && line.offset == offset && line.length == length	line.offset == offset && line.length == length
M109_unmatched_crates_indices_returns_empty	impl_matched.iter().enumerate().filter(|(_, matched)| !**matched).map(|(index, _)| index).collect()	Vec::new()
M114_assemble_cells_sparse_keeps_empty_slots	slots.iter().filter_map(|&(device, position, child)| child.map(|pointer| allocation_internal_cell(device, position, pointer))).collect()	slots.iter().map(|&(device, position, child)| allocation_internal_cell(device, position, child.unwrap_or_else(NodePointer::empty_root))).collect()
M119_allocation_root_whole_address_space_wrong_device	    let root_largest_key = allocation_position_key(u32::MAX, (1u64 << 48) - 1);	    let root_largest_key = allocation_position_key(0, (1u64 << 48) - 1);
M120_extent_positional_gamma_closed_drops_minus_one	    let last_inode_in_span = first_inode_in_span + EXTENT_TREE_UPPER_LEAF_INODES - 1;	    let last_inode_in_span = first_inode_in_span + EXTENT_TREE_UPPER_LEAF_INODES;
M123_extent_positional_eta_maximum_wrong_value	    largest[16..24].copy_from_slice(&u64::MAX.to_le_bytes());	    largest[16..24].copy_from_slice(&(u64::MAX - 1).to_le_bytes());
M126_run_variant_window_writes_skips_first_transaction_write	    let transaction_operations = &recording.operations[warm_up_operation_count..];\n    let (root_region, root_slot) = ring_target_for_publish(CheckpointTxg(FIRST_TRANSACTION_TXG));\n    let root_device = parameters.region_devices[root_region as usize].0;\n    let root_offset = ring_slot_offset(root_region, root_slot).0;\n    let catalog = build_structure_catalog(&output, root_device, root_offset);\n    model_window_writes(&catalog, transaction_operations)\n}	    let transaction_operations = &recording.operations[warm_up_operation_count + 1..];\n    let (root_region, root_slot) = ring_target_for_publish(CheckpointTxg(FIRST_TRANSACTION_TXG));\n    let root_device = parameters.region_devices[root_region as usize].0;\n    let root_offset = ring_slot_offset(root_region, root_slot).0;\n    let catalog = build_structure_catalog(&output, root_device, root_offset);\n    model_window_writes(&catalog, transaction_operations)\n}
M127_allocation_internal_cells_write_back_dense_empty_zero	    slots.iter().filter_map(|&(device, position, child)| child.map(|pointer| allocation_internal_cell(device, position, pointer))).collect()	    slots.iter().map(|&(device, position, child)| child.map_or_else(|| vec![0u8; ALLOCATION_RECORD_TREE_INTERNAL_ENTRY_BYTES as usize], |pointer| allocation_internal_cell(device, position, pointer))).collect()
M128_allocation_internal_cells_write_back_dense_with_key	    slots.iter().filter_map(|&(device, position, child)| child.map(|pointer| allocation_internal_cell(device, position, pointer))).collect()	    slots.iter().map(|&(device, position, child)| match child { Some(pointer) => allocation_internal_cell(device, position, pointer), None => { let mut writer = ByteWriter::new(ALLOCATION_RECORD_TREE_INTERNAL_ENTRY_BYTES as usize); writer.put(&allocation_position_key(device, position)); writer.bytes } }).collect()
M129_allocation_root_entries_sorted_by_device_descending	    for device in &devices {\n        for level_one_index in 0..cells_per_device {\n            let position_start = level_one_index * level_one_span;\n            let child = root_children_by_position.get(&(device.0, level_one_index)).copied();\n            root_slots.push((device.0, position_start, child));\n        }\n    }	    for device in devices.iter().rev() {\n        for level_one_index in 0..cells_per_device {\n            let position_start = level_one_index * level_one_span;\n            let child = root_children_by_position.get(&(device.0, level_one_index)).copied();\n            root_slots.push((device.0, position_start, child));\n        }\n    }
M130_internal_entry_key_uses_smallest_record_key_instead_of_position_start	        let level_one_slots: Vec<(u32, u64, Option<NodePointer>)> = (0..ALLOCATION_RECORD_TREE_INTERNAL_FANOUT)\n            .map(|position| {\n                let position_start = level_one_index * level_one_span + position * ALLOCATION_RECORD_TREE_LEAF_SLOTS;\n                let child = if position == cell_within_level_one { Some(*leaf_pointer) } else { None };\n                (*device, position_start, child)\n            })\n            .collect();	        let level_one_slots: Vec<(u32, u64, Option<NodePointer>)> = (0..ALLOCATION_RECORD_TREE_INTERNAL_FANOUT)\n            .map(|position| {\n                let mut position_start = level_one_index * level_one_span + position * ALLOCATION_RECORD_TREE_LEAF_SLOTS;\n                let child = if position == cell_within_level_one { Some(*leaf_pointer) } else { None };\n                if position == cell_within_level_one {\n                    position_start = device_records[0].slot.0;\n                }\n                (*device, position_start, child)\n            })\n            .collect();
M131_allocation_root_largest_key_reverts_to_union_of_cells	    let root_largest_key = allocation_position_key(u32::MAX, (1u64 << 48) - 1);	    let root_largest_key = allocation_position_key(u32::try_from(devices.len() - 1).expect("设备数"), cells_per_device * level_one_span - 1);
M132_allocation_root_largest_key_device_component_last_device	    let root_largest_key = allocation_position_key(u32::MAX, (1u64 << 48) - 1);	    let root_largest_key = allocation_position_key(u32::try_from(devices.len() - 1).expect("设备数"), (1u64 << 48) - 1);
M133_allocation_root_largest_key_slot_component_47_bits	    let root_largest_key = allocation_position_key(u32::MAX, (1u64 << 48) - 1);	    let root_largest_key = allocation_position_key(u32::MAX, (1u64 << 47) - 1);
M134_allocation_root_key_range_reverts_to_first_and_last_entry_key	    let root_largest_key = allocation_position_key(u32::MAX, (1u64 << 48) - 1);	    let root_largest_key = root_cells.last().map(|entry| entry[..ALLOCATION_KEY_BYTES].to_vec()).unwrap_or_else(|| allocation_position_key(u32::MAX, (1u64 << 48) - 1));
